Date,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CCU.SN,CENCOMALLS.SN,CENCOSUD.SN,CHILE.SN,CMPC.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,ECL.SN,ENELAM.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,IAM.SN,ITAUCL.SN,LTM.SN,MALLPLAZA.SN,ORO-BLANCO.SN,PARAUCO.SN,QUINENCO.SN,RIPLEY.SN,SMU.SN,SONDA.SN,SOQUICOM.SN,VAPORES.SN
2020-09-21,167.9372100830078,1260.814697265625,14701.0537109375,21.567020416259766,4094.9248046875,4090.083740234375,835.8858642578125,920.7066650390625,49.514347076416016,1537.466064453125,122.77880859375,1054.1435546875,5604.53955078125,967.8417358398438,103.18275451660156,44.7630615234375,2682.01806640625,2201.763427734375,416.33831787109375,8910.3984375,70.78734588623047,1021.6185913085938,1.8348937034606934,1035.4918212890625,606.9681396484375,179.99549865722656,78.97783660888672,467.0085754394531,155.95831298828125,20.577880859375
2020-09-28,163.02349853515625,1251.064697265625,15451.837890625,22.414493560791016,4281.2744140625,3998.908447265625,799.7647094726562,899.7160034179688,51.32904815673828,1559.2271728515625,124.99699401855469,1089.9903564453125,5938.77001953125,969.19140625,102.99275970458984,46.53046798706055,2630.47900390625,2173.13916015625,400.0529479980469,8961.853515625,69.04680633544922,1061.9210205078125,1.8678737878799438,1035.02099609375,612.5315551757812,174.02430725097656,77.0300064086914,456.60906982421875,156.9691619873047,22.256074905395508
2020-10-05,160.37130737304688,1244.440185546875,15723.474609375,21.765029907226562,4338.00927734375,3998.908447265625,802.8527221679688,869.283203125,50.138404846191406,1561.11962890625,124.09772491455078,1089.302490234375,6108.734375,935.9705200195312,102.98275756835938,45.734718322753906,2532.7099609375,2093.6806640625,399.3448791503906,9219.1318359375,69.15837860107422,1030.9912109375,1.9927983283996582,1029.3729248046875,601.2924194335938,166.70228576660156,75.67120361328125,447.5956726074219,156.9773712158203,23.07518768310547
2020-10-12,164.69894409179688,1205.738037109375,14762.1572265625,21.986799240112305,4248.5927734375,3886.939208984375,797.1077880859375,871.6242065429688,49.596458435058594,1577.2982177734375,126.09607696533203,1084.9185791015625,5910.77587890625,923.43408203125,106.56250762939453,46.06977081298828,2626.71875,2019.96630859375,396.5126647949219,8876.09375,68.43873596191406,1002.9669799804688,1.878867268562317,979.0103759765625,599.55029296875,163.478759765625,72.92683410644531,434.16986083984375,156.9773712158203,23.824384689331055
2020-10-19,159.65753173828125,1220.6234130859375,16303.6513671875,24.283687591552734,4325.3291015625,3834.95361328125,850.9664306640625,861.47998046875,54.5971565246582,1646.082275390625,125.82630920410156,1091.6236572265625,6593.63427734375,908.018310546875,108.54237365722656,45.91899490356445,2763.861328125,2210.47509765625,392.972412109375,8661.6962890625,66.34117126464844,1042.70703125,1.9528226852416992,1007.2510986328125,590.3905029296875,162.7112579345703,72.96028137207031,444.3971252441406,158.5881805419922,23.255001068115234
2020-10-26,150.91957092285156,1198.2952880859375,14641.162109375,21.44029426574707,4170.1572265625,3439.0615234375,733.91357421875,838.8504638671875,49.02166748046875,1521.4766845703125,116.60391235351562,1060.7633056640625,5898.7783203125,813.7744750976562,102.59278869628906,43.4647331237793,2410.33251953125,2029.53955078125,368.8983459472656,8743.16796875,64.97440338134766,924.1524047851562,1.9528226852416992,933.9193725585938,572.6888427734375,148.0211944580078,67.37113952636719,402.02008056640625,158.5881805419922,22.475833892822266
2020-11-02,150.2659149169922,1251.8834228515625,16244.36328125,24.164884567260742,4623.65283203125,3670.11865234375,825.0425415039062,893.473388671875,54.60537338256836,1615.900634765625,127.89460754394531,1078.9014892578125,6253.70458984375,882.785400390625,108.99234008789062,44.712806701660156,2881.04052734375,2239.9609375,382.35150146484375,8704.5751953125,60.08193588256836,983.00341796875,1.9967961311340332,918.010498046875,547.9066162109375,150.4618682861328,68.68977355957031,394.7945556640625,158.5881805419922,22.80548095703125
2020-11-09,147.26058959960938,1202.091064453125,16322.4052734375,27.277570724487305,4526.3564453125,4290.74853515625,878.2548828125,1012.8632202148438,58.66176986694336,1561.11962890625,129.78305053710938,1074.517333984375,6287.69775390625,844.765869140625,115.39189147949219,46.220542907714844,2626.71875,2560.857666015625,382.9958190917969,8747.4560546875,62.47517013549805,1049.9239501953125,2.092738389968872,1007.2510986328125,591.6829833984375,168.85130310058594,72.29093170166016,407.99072265625,164.92445373535156,23.81439781188965
2020-11-16,163.26393127441406,1234.0205078125,16374.43359375,27.25380516052246,4631.88330078125,4267.71533203125,868.919189453125,1037.833740234375,56.78137969970703,1575.3114013671875,129.39340209960938,1068.3277587890625,6598.6328125,849.8644409179688,114.68194580078125,45.08974075317383,2626.71875,2605.9482421875,402.1771545410156,9703.6728515625,60.266029357910156,1104.66015625,2.31960129737854,1040.198486328125,584.8270874023438,170.57818603515625,79.55349731445312,411.3943176269531,186.8919219970703,23.245010375976562
2020-11-23,166.04385375976562,1294.2694091796875,16334.5078125,26.5251407623291,4762.2978515625,4286.83056640625,886.1539916992188,1068.266357421875,55.73853302001953,1641.540771484375,125.40666198730469,1090.076171875,6303.6943359375,925.7334594726562,115.29190063476562,46.48858642578125,2552.1201171875,2623.084228515625,398.3323669433594,9399.2265625,59.97036361694336,1135.0274658203125,2.467512607574463,1149.5841064453125,612.5315551757812,185.73643493652344,77.6658935546875,407.326416015625,194.30477905273438,23.544689178466797
